// example:
// auto LoadLibrary = *reinterpret_cast<void *(__stdcall **)(const char *)>(0xC0F488);
// LoadLibrary("test.dll")

Address	Ordinal	Name	Library
00C0F000		AdjustTokenPrivileges	ADVAPI32
00C0F004		OpenProcessToken	ADVAPI32
00C0F008		RegCreateKeyExA	ADVAPI32
00C0F00C		RegQueryValueExA	ADVAPI32
00C0F010		RegOpenKeyExA	ADVAPI32
00C0F014		RegCloseKey	ADVAPI32
00C0F018		RegSetValueExA	ADVAPI32
00C0F01C		RegQueryValueExW	ADVAPI32
00C0F020		RegOpenKeyExW	ADVAPI32
00C0F024		GetUserNameW	ADVAPI32
00C0F028		LookupPrivilegeValueW	ADVAPI32
00C0F02C		RegOpenKeyW	ADVAPI32
00C0F030		RegQueryInfoKeyW	ADVAPI32
00C0F034		RegCreateKeyW	ADVAPI32
00C0F038		RegDeleteValueW	ADVAPI32
00C0F03C		RegEnumValueW	ADVAPI32
00C0F040		RegEnumKeyW	ADVAPI32
00C0F044		RegSetValueExW	ADVAPI32
00C0F048		RegDeleteKeyW	ADVAPI32
00C0F04C		LookupPrivilegeValueA	ADVAPI32
00C0F054		MiniDmpSender::setCallback(bool (*)(uint,void *,void *))	BugSplat
00C0F058		MiniDmpSender::~MiniDmpSender(void)	BugSplat
00C0F05C		MiniDmpSender::MiniDmpSender(char const *,char const *,char const *,char const *,ulong)	BugSplat
00C0F060		MiniDmpSender::createReport(_EXCEPTION_POINTERS *)	BugSplat
00C0F068	17	InitCommonControls	COMCTL32
00C0F06C		ImageList_Remove	COMCTL32
00C0F070		ImageList_Draw	COMCTL32
00C0F074		ImageList_SetBkColor	COMCTL32
00C0F078		ImageList_Add	COMCTL32
00C0F07C		ImageList_Replace	COMCTL32
00C0F080		ImageList_Create	COMCTL32
00C0F084		CreateStatusWindowW	COMCTL32
00C0F088		ImageList_SetDragCursorImage	COMCTL32
00C0F08C		ImageList_BeginDrag	COMCTL32
00C0F090		ImageList_EndDrag	COMCTL32
00C0F094		ImageList_DragMove	COMCTL32
00C0F098		ImageList_DragEnter	COMCTL32
00C0F09C		ImageList_DragLeave	COMCTL32
00C0F0A0		ImageList_Destroy	COMCTL32
00C0F0A4		ImageList_ReplaceIcon	COMCTL32
00C0F0A8		ImageList_GetIconSize	COMCTL32
00C0F0AC	16	CreateUpDownControl	COMCTL32
00C0F0B0		ImageList_AddMasked	COMCTL32
00C0F0B4		ImageList_GetImageCount	COMCTL32
